title,movieId,genres,year,genre_list
Desperado (1995),163,Action|Romance|Western,1995.0,"['Action', 'Romance', 'Western']"
Die Hard: With a Vengeance (1995),165,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']"
First Knight (1995),168,Action|Drama|Romance,1995.0,"['Action', 'Drama', 'Romance']"
Hackers (1995),170,Action|Adventure|Crime|Thriller,1995.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Johnny Mnemonic (1995),172,Action|Sci-Fi|Thriller,1995.0,"['Action', 'Sci-Fi', 'Thriller']"
Judge Dredd (1995),173,Action|Crime|Sci-Fi,1995.0,"['Action', 'Crime', 'Sci-Fi']"
Mighty Morphin Power Rangers: The Movie (1995),181,Action|Children,1995.0,"['Action', 'Children']"
"Net, The (1995)",185,Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']"
Strange Days (1995),198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
Under Siege 2: Dark Territory (1995),204,Action,1995.0,['Action']
Waterworld (1995),208,Action|Adventure|Sci-Fi,1995.0,"['Action', 'Adventure', 'Sci-Fi']"
Drop Zone (1994),227,Action|Thriller,1994.0,"['Action', 'Thriller']"
French Kiss (1995),236,Action|Comedy|Romance,1995.0,"['Action', 'Comedy', 'Romance']"
"Hunted, The (1995)",251,Action,1995.0,['Action']
Star Wars: Episode IV - A New Hope (1977),260,Action|Adventure|Sci-Fi,1977.0,"['Action', 'Adventure', 'Sci-Fi']"
New York Cop (Nyû Yôku no koppu) (1993),284,Action|Crime,1993.0,"['Action', 'Crime']"
Natural Born Killers (1994),288,Action|Crime|Thriller,1994.0,"['Action', 'Crime', 'Thriller']"
Outbreak (1995),292,Action|Drama|Sci-Fi|Thriller,1995.0,"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),293,Action|Crime|Drama|Thriller,1994.0,"['Action', 'Crime', 'Drama', 'Thriller']"
"Quick and the Dead, The (1995)",303,Action|Thriller|Western,1995.0,"['Action', 'Thriller', 'Western']"
"Specialist, The (1994)",315,Action|Drama|Thriller,1994.0,"['Action', 'Drama', 'Thriller']"
Stargate (1994),316,Action|Adventure|Sci-Fi,1994.0,"['Action', 'Adventure', 'Sci-Fi']"
Tank Girl (1995),327,Action|Comedy|Sci-Fi,1995.0,"['Action', 'Comedy', 'Sci-Fi']"
Tales from the Hood (1995),330,Action|Crime|Horror,1995.0,"['Action', 'Crime', 'Horror']"
Virtuosity (1995),338,Action|Sci-Fi|Thriller,1995.0,"['Action', 'Sci-Fi', 'Thriller']"
Clear and Present Danger (1994),349,Action|Crime|Drama|Thriller,1994.0,"['Action', 'Crime', 'Drama', 'Thriller']"
"Crow, The (1994)",353,Action|Crime|Fantasy|Thriller,1994.0,"['Action', 'Crime', 'Fantasy', 'Thriller']"
I Love Trouble (1994),360,Action|Comedy,1994.0,"['Action', 'Comedy']"
"Mask, The (1994)",367,Action|Comedy|Crime|Fantasy,1994.0,"['Action', 'Comedy', 'Crime', 'Fantasy']"
Naked Gun 33 1/3: The Final Insult (1994),370,Action|Comedy,1994.0,"['Action', 'Comedy']"
"River Wild, The (1994)",376,Action|Thriller,1994.0,"['Action', 'Thriller']"
Speed (1994),377,Action|Romance|Thriller,1994.0,"['Action', 'Romance', 'Thriller']"
Timecop (1994),379,Action|Sci-Fi|Thriller,1994.0,"['Action', 'Sci-Fi', 'Thriller']"
True Lies (1994),380,Action|Adventure|Comedy|Romance|Thriller,1994.0,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']"
Bad Company (1995),384,Action|Crime|Drama,1995.0,"['Action', 'Crime', 'Drama']"
"Low Down Dirty Shame, A (1994)",387,Action|Comedy,1994.0,"['Action', 'Comedy']"
Faster Pussycat! Kill! Kill! (1965),390,Action|Crime|Drama,1965.0,"['Action', 'Crime', 'Drama']"
Street Fighter (1994),393,Action|Adventure|Fantasy,1994.0,"['Action', 'Adventure', 'Fantasy']"
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),405,Action|Fantasy,1994.0,"['Action', 'Fantasy']"
Beverly Hills Cop III (1994),420,Action|Comedy|Crime|Thriller,1994.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
Blown Away (1994),423,Action|Thriller,1994.0,"['Action', 'Thriller']"
Cliffhanger (1993),434,Action|Adventure|Thriller,1993.0,"['Action', 'Adventure', 'Thriller']"
"Cowboy Way, The (1994)",438,Action|Comedy|Drama,1994.0,"['Action', 'Comedy', 'Drama']"
Demolition Man (1993),442,Action|Adventure|Sci-Fi,1993.0,"['Action', 'Adventure', 'Sci-Fi']"
"Getaway, The (1994)",459,Action|Adventure|Crime|Drama|Romance|Thriller,1994.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']"
Hard Target (1993),464,Action|Adventure|Crime|Thriller,1993.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Hot Shots! Part Deux (1993),466,Action|Comedy|War,1993.0,"['Action', 'Comedy', 'War']"
In the Line of Fire (1993),474,Action|Thriller,1993.0,"['Action', 'Thriller']"
Judgment Night (1993),479,Action|Crime|Thriller,1993.0,"['Action', 'Crime', 'Thriller']"
Jurassic Park (1993),480,Action|Adventure|Sci-Fi|Thriller,1993.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Last Action Hero (1993),485,Action|Adventure|Comedy|Fantasy,1993.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
Menace II Society (1993),493,Action|Crime|Drama,1993.0,"['Action', 'Crime', 'Drama']"
Executive Decision (1996),494,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']"
"Next Karate Kid, The (1994)",502,Action|Children|Romance,1994.0,"['Action', 'Children', 'Romance']"
No Escape (1994),504,Action|Drama|Sci-Fi,1994.0,"['Action', 'Drama', 'Sci-Fi']"
"Program, The (1993)",511,Action|Drama,1993.0,"['Action', 'Drama']"
Rising Sun (1993),517,Action|Drama|Mystery,1993.0,"['Action', 'Drama', 'Mystery']"
RoboCop 3 (1993),519,Action|Crime|Drama|Sci-Fi|Thriller,1993.0,"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']"
Romper Stomper (1992),522,Action|Drama,1992.0,"['Action', 'Drama']"
"Shadow, The (1994)",533,Action|Adventure|Fantasy|Mystery,1994.0,"['Action', 'Adventure', 'Fantasy', 'Mystery']"
Blade Runner (1982),541,Action|Sci-Fi|Thriller,1982.0,"['Action', 'Sci-Fi', 'Thriller']"
Striking Distance (1993),544,Action|Crime,1993.0,"['Action', 'Crime']"
Super Mario Bros. (1993),546,Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,1993.0,"['Action', 'Adventure', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']"
Surviving the Game (1994),547,Action|Adventure|Thriller,1994.0,"['Action', 'Adventure', 'Thriller']"
Terminal Velocity (1994),548,Action|Mystery|Thriller,1994.0,"['Action', 'Mystery', 'Thriller']"
"Three Musketeers, The (1993)",552,Action|Adventure|Comedy|Romance,1993.0,"['Action', 'Adventure', 'Comedy', 'Romance']"
Tombstone (1993),553,Action|Drama|Western,1993.0,"['Action', 'Drama', 'Western']"
"Pagemaster, The (1994)",558,Action|Adventure|Animation|Children|Fantasy,1994.0,"['Action', 'Adventure', 'Animation', 'Children', 'Fantasy']"
Terminator 2: Judgment Day (1991),589,Action|Sci-Fi,1991.0,"['Action', 'Sci-Fi']"
Batman (1989),592,Action|Crime|Thriller,1989.0,"['Action', 'Crime', 'Thriller']"
Love and a .45 (1994),600,Action|Comedy|Crime,1994.0,"['Action', 'Comedy', 'Crime']"
Heavy Metal (1981),610,Action|Adventure|Animation|Horror|Sci-Fi,1981.0,"['Action', 'Adventure', 'Animation', 'Horror', 'Sci-Fi']"
Hellraiser: Bloodline (1996),611,Action|Horror|Sci-Fi,1996.0,"['Action', 'Horror', 'Sci-Fi']"
Courage Under Fire (1996),647,Action|Crime|Drama|War,1996.0,"['Action', 'Crime', 'Drama', 'War']"
Mission: Impossible (1996),648,Action|Adventure|Mystery|Thriller,1996.0,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Dragonheart (1996),653,Action|Adventure|Fantasy,1996.0,"['Action', 'Adventure', 'Fantasy']"
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),667,Action,1996.0,['Action']
Operation Dumbo Drop (1995),688,Action|Adventure|Comedy|War,1995.0,"['Action', 'Adventure', 'Comedy', 'War']"
Solo (1996),692,Action|Sci-Fi|Thriller,1996.0,"['Action', 'Sci-Fi', 'Thriller']"
"Substitute, The (1996)",694,Action|Crime|Drama,1996.0,"['Action', 'Crime', 'Drama']"
"Quest, The (1996)",704,Action|Adventure,1996.0,"['Action', 'Adventure']"
"Rock, The (1996)",733,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']"
Twister (1996),736,Action|Adventure|Romance|Thriller,1996.0,"['Action', 'Adventure', 'Romance', 'Thriller']"
Barb Wire (1996),737,Action|Sci-Fi,1996.0,"['Action', 'Sci-Fi']"
"Arrival, The (1996)",748,Action|Sci-Fi|Thriller,1996.0,"['Action', 'Sci-Fi', 'Thriller']"
"Phantom, The (1996)",761,Action|Adventure,1996.0,"['Action', 'Adventure']"
Independence Day (a.k.a. ID4) (1996),780,Action|Adventure|Sci-Fi|Thriller,1996.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Eraser (1996),786,Action|Drama|Thriller,1996.0,"['Action', 'Drama', 'Thriller']"
Daylight (1996),798,Action|Adventure|Drama|Thriller,1996.0,"['Action', 'Adventure', 'Drama', 'Thriller']"
Fled (1996),809,Action|Adventure,1996.0,"['Action', 'Adventure']"
Chain Reaction (1996),836,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']"
"Crow: City of Angels, The (1996)",839,Action|Thriller,1996.0,"['Action', 'Thriller']"
Escape from L.A. (1996),849,Action|Adventure|Sci-Fi|Thriller,1996.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),861,Action|Comedy|Crime|Thriller,1992.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
Nothing to Lose (1994),875,Action|Crime|Drama,1994.0,"['Action', 'Crime', 'Drama']"
Supercop 2 (Project S) (Chao ji ji hua) (1993),876,Action|Comedy|Crime|Thriller,1993.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
Bulletproof (1996),886,Action|Comedy|Crime,1996.0,"['Action', 'Comedy', 'Crime']"
North by Northwest (1959),908,Action|Adventure|Mystery|Romance|Thriller,1959.0,"['Action', 'Adventure', 'Mystery', 'Romance', 'Thriller']"
"Adventures of Robin Hood, The (1938)",940,Action|Adventure|Romance,1938.0,"['Action', 'Adventure', 'Romance']"
Maximum Risk (1996),990,Action|Adventure|Thriller,1996.0,"['Action', 'Adventure', 'Thriller']"
Last Man Standing (1996),996,Action|Crime|Drama|Thriller,1996.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Set It Off (1996),998,Action|Crime,1996.0,"['Action', 'Crime']"
"Glimmer Man, The (1996)",1004,Action|Thriller,1996.0,"['Action', 'Thriller']"
Die Hard (1988),1036,Action|Crime|Thriller,1988.0,"['Action', 'Crime', 'Thriller']"
"Lawnmower Man, The (1992)",1037,Action|Horror|Sci-Fi|Thriller,1992.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
"Long Kiss Goodnight, The (1996)",1047,Action|Drama|Thriller,1996.0,"['Action', 'Drama', 'Thriller']"
"Ghost and the Darkness, The (1996)",1049,Action|Adventure,1996.0,"['Action', 'Adventure']"
Days of Thunder (1990),1100,Action|Drama|Romance,1990.0,"['Action', 'Drama', 'Romance']"
Top Gun (1986),1101,Action|Romance,1986.0,"['Action', 'Romance']"
Palookaville (1996),1112,Action|Comedy|Drama,1996.0,"['Action', 'Comedy', 'Drama']"
"Abyss, The (1989)",1127,Action|Adventure|Sci-Fi|Thriller,1989.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Escape from New York (1981),1129,Action|Adventure|Sci-Fi|Thriller,1981.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Best of the Best 3: No Turning Back (1995),1170,Action,1995.0,['Action']
Star Wars: Episode V - The Empire Strikes Back (1980),1196,Action|Adventure|Sci-Fi,1980.0,"['Action', 'Adventure', 'Sci-Fi']"
"Princess Bride, The (1987)",1197,Action|Adventure|Comedy|Fantasy|Romance,1987.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1198,Action|Adventure,1981.0,"['Action', 'Adventure']"
Aliens (1986),1200,Action|Adventure|Horror|Sci-Fi,1986.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",1201,Action|Adventure|Western,1966.0,"['Action', 'Adventure', 'Western']"
Apocalypse Now (1979),1208,Action|Drama|War,1979.0,"['Action', 'Drama', 'War']"
Once Upon a Time in the West (C'era una volta il West) (1968),1209,Action|Drama|Western,1968.0,"['Action', 'Drama', 'Western']"
Star Wars: Episode VI - Return of the Jedi (1983),1210,Action|Adventure|Sci-Fi,1983.0,"['Action', 'Adventure', 'Sci-Fi']"
Army of Darkness (1993),1215,Action|Adventure|Comedy|Fantasy|Horror,1993.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror']"
"Killer, The (Die xue shuang xiong) (1989)",1218,Action|Crime|Drama|Thriller,1989.0,"['Action', 'Crime', 'Drama', 'Thriller']"
"Blues Brothers, The (1980)",1220,Action|Comedy|Musical,1980.0,"['Action', 'Comedy', 'Musical']"
Henry V (1989),1224,Action|Drama|Romance|War,1989.0,"['Action', 'Drama', 'Romance', 'War']"
"Boot, Das (Boat, The) (1981)",1233,Action|Drama|War,1981.0,"['Action', 'Drama', 'War']"
"Terminator, The (1984)",1240,Action|Sci-Fi|Thriller,1984.0,"['Action', 'Sci-Fi', 'Thriller']"
"Femme Nikita, La (Nikita) (1990)",1249,Action|Crime|Romance|Thriller,1990.0,"['Action', 'Crime', 'Romance', 'Thriller']"
"Treasure of the Sierra Madre, The (1948)",1254,Action|Adventure|Drama|Western,1948.0,"['Action', 'Adventure', 'Drama', 'Western']"
Evil Dead II (Dead by Dawn) (1987),1261,Action|Comedy|Fantasy|Horror,1987.0,"['Action', 'Comedy', 'Fantasy', 'Horror']"
"Great Escape, The (1963)",1262,Action|Adventure|Drama|War,1963.0,"['Action', 'Adventure', 'Drama', 'War']"
Diva (1981),1264,Action|Drama|Mystery|Romance|Thriller,1981.0,"['Action', 'Drama', 'Mystery', 'Romance', 'Thriller']"
Akira (1988),1274,Action|Adventure|Animation|Sci-Fi,1988.0,"['Action', 'Adventure', 'Animation', 'Sci-Fi']"
Highlander (1986),1275,Action|Adventure|Fantasy,1986.0,"['Action', 'Adventure', 'Fantasy']"
Ben-Hur (1959),1287,Action|Adventure|Drama,1959.0,"['Action', 'Adventure', 'Drama']"
Indiana Jones and the Last Crusade (1989),1291,Action|Adventure,1989.0,"['Action', 'Adventure']"
Butch Cassidy and the Sundance Kid (1969),1304,Action|Western,1969.0,"['Action', 'Western']"
Alien³ (a.k.a. Alien 3) (1992),1320,Action|Horror|Sci-Fi|Thriller,1992.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
Star Trek: First Contact (1996),1356,Action|Adventure|Sci-Fi|Thriller,1996.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Die Hard 2 (1990),1370,Action|Adventure|Thriller,1990.0,"['Action', 'Adventure', 'Thriller']"
Star Trek VI: The Undiscovered Country (1991),1372,Action|Mystery|Sci-Fi,1991.0,"['Action', 'Mystery', 'Sci-Fi']"
Star Trek V: The Final Frontier (1989),1373,Action|Sci-Fi,1989.0,"['Action', 'Sci-Fi']"
Star Trek II: The Wrath of Khan (1982),1374,Action|Adventure|Sci-Fi|Thriller,1982.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Star Trek III: The Search for Spock (1984),1375,Action|Adventure|Sci-Fi,1984.0,"['Action', 'Adventure', 'Sci-Fi']"
Batman Returns (1992),1377,Action|Crime,1992.0,"['Action', 'Crime']"
Young Guns (1988),1378,Action|Comedy|Western,1988.0,"['Action', 'Comedy', 'Western']"
Young Guns II (1990),1379,Action|Western,1990.0,"['Action', 'Western']"
Marked for Death (1990),1382,Action|Drama,1990.0,"['Action', 'Drama']"
Under Siege (1992),1385,Action|Drama|Thriller,1992.0,"['Action', 'Drama', 'Thriller']"
Jaws (1975),1387,Action|Horror,1975.0,"['Action', 'Horror']"
Jaws 3-D (1983),1389,Action|Horror,1983.0,"['Action', 'Horror']"
Mars Attacks! (1996),1391,Action|Comedy|Sci-Fi,1996.0,"['Action', 'Comedy', 'Sci-Fi']"
Sneakers (1992),1396,Action|Comedy|Crime|Drama|Sci-Fi,1992.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Sci-Fi']"
"Last of the Mohicans, The (1992)",1408,Action|Romance|War|Western,1992.0,"['Action', 'Romance', 'War', 'Western']"
Turbulence (1997),1427,Action|Thriller,1997.0,"['Action', 'Thriller']"
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),1429,Action|Adventure|Comedy|Thriller,1996.0,"['Action', 'Adventure', 'Comedy', 'Thriller']"
Beverly Hills Ninja (1997),1431,Action|Comedy,1997.0,"['Action', 'Comedy']"
Metro (1997),1432,Action|Comedy|Crime|Drama|Thriller,1997.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
Dante's Peak (1997),1438,Action|Thriller,1997.0,"['Action', 'Thriller']"
Rosewood (1997),1465,Action|Drama,1997.0,"['Action', 'Drama']"
Best Men (1997),1473,Action|Comedy|Crime|Drama,1997.0,"['Action', 'Comedy', 'Crime', 'Drama']"
"Saint, The (1997)",1479,Action|Romance|Sci-Fi|Thriller,1997.0,"['Action', 'Romance', 'Sci-Fi', 'Thriller']"
"Devil's Own, The (1997)",1488,Action|Drama|Thriller,1997.0,"['Action', 'Drama', 'Thriller']"
Turbo: A Power Rangers Movie (1997),1495,Action|Adventure|Children,1997.0,"['Action', 'Adventure', 'Children']"
Double Team (1997),1497,Action,1997.0,['Action']
Anaconda (1997),1499,Action|Adventure|Thriller,1997.0,"['Action', 'Adventure', 'Thriller']"
Volcano (1997),1515,Action|Drama|Thriller,1997.0,"['Action', 'Drama', 'Thriller']"
Austin Powers: International Man of Mystery (1997),1517,Action|Adventure|Comedy,1997.0,"['Action', 'Adventure', 'Comedy']"
Breakdown (1997),1518,Action|Thriller,1997.0,"['Action', 'Thriller']"
"Fifth Element, The (1997)",1527,Action|Adventure|Comedy|Sci-Fi,1997.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
"Lost World: Jurassic Park, The (1997)",1544,Action|Adventure|Sci-Fi|Thriller,1997.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Con Air (1997),1552,Action|Adventure|Thriller,1997.0,"['Action', 'Adventure', 'Thriller']"
Speed 2: Cruise Control (1997),1556,Action|Romance|Thriller,1997.0,"['Action', 'Romance', 'Thriller']"
Batman & Robin (1997),1562,Action|Adventure|Fantasy|Thriller,1997.0,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
Face/Off (1997),1573,Action|Crime|Drama|Thriller,1997.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Men in Black (a.k.a. MIB) (1997),1580,Action|Comedy|Sci-Fi,1997.0,"['Action', 'Comedy', 'Sci-Fi']"
G.I. Jane (1997),1586,Action|Drama,1997.0,"['Action', 'Drama']"
Conan the Barbarian (1982),1587,Action|Adventure|Fantasy,1982.0,"['Action', 'Adventure', 'Fantasy']"
Cop Land (1997),1589,Action|Crime|Drama|Thriller,1997.0,"['Action', 'Crime', 'Drama', 'Thriller']"
Spawn (1997),1591,Action|Adventure|Sci-Fi|Thriller,1997.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Steel (1997),1599,Action,1997.0,['Action']
Money Talks (1997),1604,Action|Comedy,1997.0,"['Action', 'Comedy']"
Kull the Conqueror (1997),1606,Action|Adventure,1997.0,"['Action', 'Adventure']"
Air Force One (1997),1608,Action|Thriller,1997.0,"['Action', 'Thriller']"
"Hunt for Red October, The (1990)",1610,Action|Adventure|Thriller,1990.0,"['Action', 'Adventure', 'Thriller']"
"Peacemaker, The (1997)",1616,Action|Thriller|War,1997.0,"['Action', 'Thriller', 'War']"
Fire Down Below (1997),1626,Action|Drama|Thriller,1997.0,"['Action', 'Drama', 'Thriller']"
"Assignment, The (1997)",1631,Action|Thriller,1997.0,"['Action', 'Thriller']"
Mad City (1997),1667,Action|Drama,1997.0,"['Action', 'Drama']"
Starship Troopers (1997),1676,Action|Sci-Fi,1997.0,"['Action', 'Sci-Fi']"
Mortal Kombat: Annihilation (1997),1681,Action|Adventure|Fantasy,1997.0,"['Action', 'Adventure', 'Fantasy']"
"Jackal, The (1997)",1687,Action|Thriller,1997.0,"['Action', 'Thriller']"
Alien: Resurrection (1997),1690,Action|Horror|Sci-Fi,1997.0,"['Action', 'Horror', 'Sci-Fi']"
Tomorrow Never Dies (1997),1722,Action|Adventure|Thriller,1997.0,"['Action', 'Adventure', 'Thriller']"
"Postman, The (1997)",1726,Action|Adventure|Drama|Sci-Fi,1997.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
3 Ninjas: High Noon On Mega Mountain (1998),1739,Action|Children|Comedy,1998.0,"['Action', 'Children', 'Comedy']"
Hard Rain (1998),1752,Action|Crime|Thriller,1998.0,"['Action', 'Crime', 'Thriller']"
Deep Rising (1998),1762,Action|Horror|Sci-Fi,1998.0,"['Action', 'Horror', 'Sci-Fi']"
"Replacement Killers, The (1998)",1769,Action|Crime|Thriller,1998.0,"['Action', 'Crime', 'Thriller']"
Blues Brothers 2000 (1998),1772,Action|Comedy|Musical,1998.0,"['Action', 'Comedy', 'Musical']"
U.S. Marshals (1998),1792,Action|Crime|Thriller,1998.0,"['Action', 'Crime', 'Thriller']"
"Man in the Iron Mask, The (1998)",1801,Action|Adventure|Drama,1998.0,"['Action', 'Adventure', 'Drama']"
Lost in Space (1998),1831,Action|Adventure|Sci-Fi,1998.0,"['Action', 'Adventure', 'Sci-Fi']"
Mercury Rising (1998),1833,Action|Drama|Thriller,1998.0,"['Action', 'Drama', 'Thriller']"
Mr. Nice Guy (Yat goh ho yan) (1997),1858,Action|Comedy,1997.0,"['Action', 'Comedy']"
"Big Hit, The (1998)",1866,Action|Comedy|Crime,1998.0,"['Action', 'Comedy', 'Crime']"
Tarzan and the Lost City (1998),1867,Action|Adventure,1998.0,"['Action', 'Adventure']"
Godzilla (1998),1882,Action|Sci-Fi|Thriller,1998.0,"['Action', 'Sci-Fi', 'Thriller']"
"X-Files: Fight the Future, The (1998)",1909,Action|Crime|Mystery|Sci-Fi|Thriller,1998.0,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']"
Armageddon (1998),1917,Action|Romance|Sci-Fi|Thriller,1998.0,"['Action', 'Romance', 'Sci-Fi', 'Thriller']"
Lethal Weapon 4 (1998),1918,Action|Comedy|Crime|Thriller,1998.0,"['Action', 'Comedy', 'Crime', 'Thriller']"
All Quiet on the Western Front (1930),1927,Action|Drama|War,1930.0,"['Action', 'Drama', 'War']"
"French Connection, The (1971)",1953,Action|Crime|Thriller,1971.0,"['Action', 'Crime', 'Thriller']"
Lethal Weapon (1987),2000,Action|Comedy|Crime|Drama,1987.0,"['Action', 'Comedy', 'Crime', 'Drama']"
Lethal Weapon 2 (1989),2001,Action|Comedy|Crime|Drama,1989.0,"['Action', 'Comedy', 'Crime', 'Drama']"
Lethal Weapon 3 (1992),2002,Action|Comedy|Crime|Drama,1992.0,"['Action', 'Comedy', 'Crime', 'Drama']"
"Goonies, The (1985)",2005,Action|Adventure|Children|Comedy|Fantasy,1985.0,"['Action', 'Adventure', 'Children', 'Comedy', 'Fantasy']"
"Mask of Zorro, The (1998)",2006,Action|Comedy|Romance,1998.0,"['Action', 'Comedy', 'Romance']"
"Poseidon Adventure, The (1972)",2013,Action|Adventure|Drama,1972.0,"['Action', 'Adventure', 'Drama']"
Seven Samurai (Shichinin no samurai) (1954),2019,Action|Adventure|Drama,1954.0,"['Action', 'Adventure', 'Drama']"
Saving Private Ryan (1998),2028,Action|Drama|War,1998.0,"['Action', 'Drama', 'War']"
Condorman (1981),2041,Action|Adventure|Children|Comedy,1981.0,"['Action', 'Adventure', 'Children', 'Comedy']"
"Great Mouse Detective, The (1986)",2048,Action|Animation|Children|Crime,1986.0,"['Action', 'Animation', 'Children', 'Crime']"
Hot Lead and Cold Feet (1978),2055,Action|Comedy|Western,1978.0,"['Action', 'Comedy', 'Western']"
"Negotiator, The (1998)",2058,Action|Crime|Drama|Mystery|Thriller,1998.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
"Rocketeer, The (1991)",2094,Action|Adventure|Sci-Fi,1991.0,"['Action', 'Adventure', 'Sci-Fi']"
